"STATION","NAME","month","day","date","average_temp","average_temp_sd"
"BE000006447","UCCLE, BE",1,1,"1-1",3.3,4.08
"BE000006447","UCCLE, BE",1,2,"1-2",4.35,4.16
"BE000006447","UCCLE, BE",1,3,"1-3",4.21,4.21
"BE000006447","UCCLE, BE",1,4,"1-4",4,4.07
"BE000006447","UCCLE, BE",1,5,"1-5",3.89,3.69
"BE000006447","UCCLE, BE",1,6,"1-6",3.89,4.89
"BE000006447","UCCLE, BE",1,7,"1-7",4.31,4.94
"BE000006447","UCCLE, BE",1,8,"1-8",4.52,4.68
"BE000006447","UCCLE, BE",1,9,"1-9",4.74,5.13
"BE000006447","UCCLE, BE",1,10,"1-10",4.29,4.74
"BE000006447","UCCLE, BE",1,11,"1-11",4.22,3.54
"BE000006447","UCCLE, BE",1,12,"1-12",4.37,3.3
"BE000006447","UCCLE, BE",1,13,"1-13",4.68,3.62
"BE000006447","UCCLE, BE",1,14,"1-14",4.15,3.19
"BE000006447","UCCLE, BE",1,15,"1-15",3.86,3.25
"BE000006447","UCCLE, BE",1,16,"1-16",3.97,3.53
"BE000006447","UCCLE, BE",1,17,"1-17",3.89,4.05
"BE000006447","UCCLE, BE",1,18,"1-18",3.6,4.13
"BE000006447","UCCLE, BE",1,19,"1-19",4.18,4.33
"BE000006447","UCCLE, BE",1,20,"1-20",3.97,4.37
"BE000006447","UCCLE, BE",1,21,"1-21",3.39,3.56
"BE000006447","UCCLE, BE",1,22,"1-22",3.25,3.01
"BE000006447","UCCLE, BE",1,23,"1-23",3.31,3.38
"BE000006447","UCCLE, BE",1,24,"1-24",2.86,4.16
"BE000006447","UCCLE, BE",1,25,"1-25",2.75,3.47
"BE000006447","UCCLE, BE",1,26,"1-26",3.47,4.02
"BE000006447","UCCLE, BE",1,27,"1-27",3.52,4.32
"BE000006447","UCCLE, BE",1,28,"1-28",3.94,3.46
"BE000006447","UCCLE, BE",1,29,"1-29",3.81,3.63
"BE000006447","UCCLE, BE",1,30,"1-30",3.84,4.1
"BE000006447","UCCLE, BE",1,31,"1-31",3.57,4.44
"BE000006447","UCCLE, BE",2,1,"2-1",3.89,4.92
"BE000006447","UCCLE, BE",2,2,"2-2",4.21,4.64
"BE000006447","UCCLE, BE",2,3,"2-3",4.42,4.5
"BE000006447","UCCLE, BE",2,4,"2-4",4.66,4.6
